Actual Wavelengths,Predicted Wavelengths
587.5385119329312,458.2322323653125
508.1075038061588,443.79365816402304
607.989452701624,595.8903994491852
597.5454879324826,552.8240241112031
527.9232006227113,514.4117367737547
448.8796852188461,465.3461355577272
578.1348301689227,703.9832162931455
557.3629908126866,646.7025120858317
547.806739631287,604.641140583922
481.1148231652136,504.55682042736623
718.8566753468305,563.9720795703038
694.4020862534777,542.179145111389
607.0455847899506,492.7683561299014
596.7817564062373,452.5576917440468
561.3549338206711,565.2094952563716
539.5171489714845,542.26342533891
513.5404354169157,492.7632659817549
458.7352007178072,452.6380759902787
540.0563718886741,614.3725337609114
497.6145714241552,577.358012125835
481.29936025598886,523.0752657487374
451.71567832169274,465.87078220299054
599.9067437901979,661.222363634808
579.622843559374,606.2855932582164
530.752631532557,548.7736608788587
446.8294265717018,478.3376722602092
768.8995068104871,683.3992967800775
609.8527150971846,630.3220310940229
570.5677359592181,593.9556397403057
552.0152616569843,500.6231778069273
575.6112770814393,573.8002608171199
567.686595595164,550.5664691712465
497.41736818055807,501.6091313607969
468.0385960630664,456.5156487289436
702.9841813969207,677.1807224696738
667.6836915769329,599.3858466176702
605.5890594509863,558.4527208395739
476.88068303052614,493.6268600725647
671.8581231834347,683.3149618170311
643.7564184523649,598.372762835676
621.0629468009321,551.5744507778278
506.3518049542334,492.37390653657724
543.4020887360975,597.7991877813521
537.7181402118088,543.505132866537
516.530324335695,498.3637386326551
461.3252547412272,463.9684067655716
578.0479131695089,636.654045246788
568.0746795694313,583.8939937178334
557.6167432768373,541.7948999512796
455.8510265242718,476.554832130659
748.8183849762993,567.1621764835276
695.4413182313432,545.2724004667875
641.6897079914676,493.7981457696065
513.423598472593,452.4555461775086
673.1033773963994,633.1847732885865
602.4516648767809,583.9372236020737
588.3551751642307,539.9155668569543
520.5575255595601,475.6239303783812
586.826733870532,632.1858569388281
558.5088216848934,584.9595178212288
534.5227198449309,542.2024652108058
461.4655668837807,476.64376850729934
543.2492470654427,604.6893458754042
513.2446557791833,570.4641496024853
494.45204633491386,518.0577955727375
454.994391472549,463.76817605800727
627.5799880739429,657.6840516672704
601.4296172538308,608.9889869484555
472.377445675868,572.3013467736853
457.766359273481,492.13590028749877
673.0800100355472,669.5731974731555
614.0458037206637,611.3288297200953
553.8187322755293,581.3704168196857
466.21091669260466,498.1344979173781
520.7716623631878,611.8440391544282
491.4657762841836,569.362819368338
459.1061029507962,526.4922557303557
432.327197044576,469.7185461123452
558.3184920438251,560.1291381089816
538.9330996587646,537.3814143369827
495.65806695221414,488.9832440190722
458.4502207907911,451.3746692470265
588.1142801127593,635.7694634232455
563.2008353028251,583.8435232898055
547.33924104203,534.5930043575694
456.1659378459104,481.73512952200133
842.6916860042331,681.0438314295178
796.4037391842754,599.3851962131076
699.9965012999407,553.9970263866171
618.6272937304973,492.78171795346293
570.1884409927653,583.5373197171394
545.9290263916728,537.2753564733512
471.57757643981887,495.4713381377805
470.88472749278645,452.93304845002126
655.3756203496673,646.9809264581213
622.5483330307354,590.0008661932068
545.5066529648574,553.4053218673081
483.32506375321367,483.3722492108552
687.3039250038174,664.1068319175039
636.5563789528998,607.9873950380623
616.0569467227309,544.461653396751
440.2990519698755,471.08633766941193
667.2196459071486,620.4055965875801
612.0925607041158,559.913918597893
601.0785238321068,516.4766271396088
528.319509214999,469.59058838422476
602.6943258880774,628.1574969650109
572.8205117183716,581.518087078196
555.0587327575885,537.3081938482648
454.3658736081916,471.15970339458255
474.5193247730624,584.0353809606232
456.7290686956979,535.6336335767265
450.0867751540775,499.20198394058997
437.6664699192188,459.155015690551
890.6302904494659,644.3282841005938
692.9903111390408,576.509925210599
611.9395698712516,527.6928352401249
594.3445703388145,474.5259067463609
